UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
607959700991,60795970099,259805,,GAEA NORTH AMER,GAEA NORTH AMERICA OLIVES GREEN PITTED,4.900,OZ,8,36.960,6.69,Specialty Groce,OLIVES PICKLES,GREEK,OLIVES PICKLES PEPPERS- OLIVES,SPECIALTY GROCERY,100,ACTIVE,0000011,5.71,5.000,8.940
075879001502,07587900150,259810,,POMPEII,POMPEII JUICE LEMON 100%,13.00,OZ,12,21.720,2.59,Specialty Groce,SINGLE TYPE JUI,SNGLE FRT JUICES (NO,SINGLE TYPE JUICE,SPECIALTY GROCERY,100,ACTIVE,0000012,10.00,5.120,12.000
075879001519,07587900151,259811,,POMPEII,POMPEII JUICE LIME 100%,13.00,OZ,12,21.720,2.59,Specialty Groce,SINGLE TYPE JUI,SNGLE FRT JUICES (NO,SINGLE TYPE JUICE,SPECIALTY GROCERY,100,ACTIVE,0000012,10.00,5.120,12.000
817670010501,81767001050,259873,,ALTER ECO,ALTER ECO CHOC BAR DRK SLTD ORG,2.820,OZ,12,38.760,4.69,Natural Grocery,CHOCOLATE & NOV,CHOCOLATE BARS,CHOCOLATE & NOVELTY CONFECTION,NATURAL GROCERY,100,ACTIVE,0000011,10.33,13.000,32.000
032917002471,03291700247,259890,,TRADITIONAL MED,TRADITIONAL MEDICINALS TEA CNNMN STRSS EASE O,16.00,BG,6,25.080,5.99,Natural Grocery,TEA,MEDICINAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000006,8.37,4.620,1.100
084253246255,08425324625,259927,,IMAGINE,IMAGINE GRAVY BEEF ORG,13.50,FO,12,32.040,3.89,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,7.13,4.630,10.500
666522900091,66652290009,259936,,CHIVERS,CHIVERS PRESERVE MARMALADE OLDENG,12.00,OZ,6,26.520,6.39,Specialty Groce,FRUIT SPREADS,IRISH,JAMS JELLIES PRESERVES,SPECIALTY GROCERY,100,ACTIVE,0000008,4.50,4.500,7.900
817670010747,81767001074,260131,,ALTER ECO,ALTER ECO CHOC TRUFFLE MEDLEY ORG,60.00,PC,4,164.600,58.79,Natural Grocery,CHOCOLATE & NOV,CHOCOLATE BARS,CHOCOLATE & NOVELTY CONFECTION,NATURAL GROCERY,100,ACTIVE,0000007,7.88,10.380,8.000
013971010008,01397101000,260212,,BARE FRUIT,BARE FRUIT CHIPS CRISPY REDS,3.000,OZ,12,57.840,6.89,Natural Grocery,CHIPS & PRETZEL,VEGETABLE/FRUIT CHIP,CHIPS & PRETZELS,NATURAL GROCERY,100,ACTIVE,0000013,13.12,9.810,3.250
072273138209,07227313820,260241,,KUNERS,KUNERS BEANS GREAT NORTHERN,15.00,OZ,12,17.520,2.09,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,ACTIVE,0000012,9.25,4.500,13.580
